Username,Profile URL,Subscribers,Twitter,Instagram,TikTok,LinkedIn,Facebook,YouTube,Linktree,Threads,Bluesky,GitHub,Medium,Other,Scraped At,Category
zoomerhistorian,https://substack.com/@zoomerhistorian,4800,https://twitter.com/zoomerhistorian,,,,,,,,,,,,2026-01-22 01:48:23,Bestseller
theautismdoctor,https://substack.com/@theautismdoctor,5000,,https://instagram.com/theautismdoctor,,,https://www.facebook.com/themindinstituteltd,,,,,,,,2026-01-22 01:48:23,Bestseller
ozeco,https://substack.com/@ozeco,6000,,,,,,,,,,,,,2026-01-22 01:48:23,Bestseller
ribcagemedia,https://substack.com/@ribcagemedia,7100,,,,,,,,,,,,,2026-01-22 01:48:23,Bestseller
ryangoodmanlaw,https://substack.com/@ryangoodmanlaw,4500,,,,https://www.linkedin.com/in/rgoodlaw/,,,,,,,,https://www.justsecurity.org/author/goodmanryan/,2026-01-22 01:48:23,Bestseller
tracyshuchart,https://substack.com/@tracyshuchart,6900,https://twitter.com/chigrl,,,,,,,,,,,https://renegaderesources.pro/?utm_campaign=profile_chips,2026-01-22 01:48:23,Bestseller
drberryfairchild,https://substack.com/@drberryfairchild,1200,,https://instagram.com/drberryfairchild,,,,,,,,,,https://drberryfairchild.shop/,2026-01-22 01:48:23,Bestseller
carolinelunne,https://substack.com/@carolinelunne,5500,,,,,,,,,,,,https://www.carolinelunne.com,2026-01-22 01:48:23,Bestseller
samuelwynnwarde614541,https://substack.com/@samuelwynnwarde614541,23000,,,,,,,,,,,,https://www.newsletter.samuel-warde.com/?utm_campaign=profile_chips,2026-01-22 01:48:23,Bestseller
freckleman64,https://substack.com/@freckleman64,978,https://twitter.com/Freckleman64,,,,,,,,,,,,2026-01-22 01:48:23,Bestseller
catherinerayner,https://substack.com/@catherinerayner,15000,,,,,https://www.facebook.com/catherineraynerillustration/,,,,,,,https://www.catherinerayner.co.uk/,2026-01-22 01:48:23,Bestseller
katyrexing,https://substack.com/@katyrexing,1900,,,,,https://www.facebook.com/KatyRexingWellness,,,,,,,https://www.katyrexing.com,2026-01-22 01:48:23,Bestseller
hannaportionenundertian,https://substack.com/@hannaportionenundertian,1300,,https://instagram.com/portionenundertian,,,,,,,,,,https://undertian.com/,2026-01-22 01:48:23,Bestseller
notboring,https://substack.com/@notboring,258000,https://twitter.com/packyM,,,,,,,,,,,https://www.notboring.co/?utm_campaign=profile_chips,2026-01-22 01:48:23,Bestseller
